Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021),Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number),Prevalence - Mental disorders - Sex: Both - Age: All Ages (Number),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Continent
Tunisia,TUN,2009,5.025,552401,1674009,3.5,13.29,Africa
Uganda,UGA,2009,4.612,1464766,3717865,6.8,3.6,Africa
Zambia,ZMB,2009,5.26,366791,1298475,9.8,10.5,Africa
Zimbabwe,ZWE,2009,4.056,308860,1222284,22.2,5.03,Africa
Algeria,DZA,2010,5.464,1448602,5121070,3,9.96,Africa
Botswana,BWA,2010,3.553,73495,214206,24.4,17.86,Africa
Cameroon,CMR,2010,4.554,711736,2183237,10.8,4.11,Africa
Central African Republic,CAF,2010,3.568,206490,571977,15.8,4.38,Africa
Chad,TCD,2010,3.743,384883,1170430,7.7,1.59,Africa
Comoros,COM,2010,3.812,21960,68558,5.6,6.6,Africa
Djibouti,DJI,2010,5.006,32874,96802,8.2,11.52,Africa
Egypt,EGY,2010,4.669,2862702,11433490,3.2,8.76,Africa
Ghana,GHA,2010,4.606,848421,2560969,7.8,5.32,Africa
Kenya,KEN,2010,4.256,1396805,4248339,6,2.86,Africa
Liberia,LBR,2010,4.196,146267,456268,4.9,2.27,Africa
Mali,MLI,2010,3.762,363207,1380280,4.5,8.07,Africa
Mauritania,MRT,2010,4.772,86219,296504,3.1,9.86,Africa
Morocco,MAR,2010,4.383,1652166,5085690,9.2,9.09,Africa
Niger,NER,2010,4.101,422767,1516787,5.3,0.58,Africa
Nigeria,NGA,2010,4.76,5057928,15976405,4.4,3.77,Africa
Senegal,SEN,2010,4.372,358504,1171731,6.6,10.34,Africa
Sierra Leone,SLE,2010,4.134,202613,684278,6.8,4.16,Africa
South Africa,ZAF,2010,4.652,1979152,5719710,24.6,24.68,Africa
Sudan,SDN,2010,4.435,1194927,4918776,4,15.17,Africa
Tanzania,TZA,2010,3.229,1445999,4645967,5,2.98,Africa
Tunisia,TUN,2010,5.131,559991,1687008,3.5,13.05,Africa
Uganda,UGA,2010,4.193,1476945,3793403,6.3,3.61,Africa
Zimbabwe,ZWE,2010,4.682,313171,1240302,21.5,5.22,Africa
Algeria,DZA,2011,5.317,1479597,5195953,3,9.96,Africa
Angola,AGO,2011,5.589,922801,2431920,6.6,7.36,Africa
Benin,BEN,2011,3.87,287916,945354,8.5,2.65,Africa
Botswana,BWA,2011,3.52,75446,219074,22.7,17.85,Africa
Burundi,BDI,2011,3.706,300928,1010888,7.4,1.7,Africa
Cameroon,CMR,2011,4.434,738642,2263573,10.8,3.97,Africa
Central African Republic,CAF,2011,3.678,211797,586485,15.4,4.38,Africa
Chad,TCD,2011,4.393,397518,1211884,7.7,1.66,Africa
Comoros,COM,2011,3.838,22470,69848,5.1,6.98,Africa
Congo,COG,2011,4.51,201747,498140,8.7,11.89,Africa
Djibouti,DJI,2011,4.369,34236,100398,8.5,11.51,Africa
Egypt,EGY,2011,4.174,2937865,11663676,3.3,11.85,Africa
Gabon,GAB,2011,4.255,72599,180919,10,20.38,Africa
Ghana,GHA,2011,5.608,876431,2635319,7.8,5.62,Africa
Guinea,GIN,2011,4.045,313799,1029532,7,4.45,Africa
Kenya,KEN,2011,4.405,1436158,4368401,5.9,2.86,Africa
Lesotho,LSO,2011,4.898,91759,237039,69.5,26.04,Africa
Madagascar,MDG,2011,4.381,729778,2357760,5.7,2.02,Africa
Malawi,MWI,2011,3.946,406664,1523218,7.3,5.93,Africa
Mali,MLI,2011,4.667,376124,1428204,4.5,6.9,Africa
Mauritania,MRT,2011,4.785,88696,304119,3,9.86,Africa
Mauritius,MUS,2011,5.477,57521,160483,9,7.45,Africa
Morocco,MAR,2011,5.085,1679890,5138175,9.2,8.91,Africa
Mozambique,MOZ,2011,4.971,783499,2580952,15.3,3.3,Africa
Niger,NER,2011,4.556,437768,1576769,5.4,0.32,Africa
Rwanda,RWA,2011,4.097,396513,1186802,6.2,1.1,Africa
Senegal,SEN,2011,3.834,368451,1201011,6.5,10.36,Africa
Sierra Leone,SLE,2011,4.502,209469,706052,6.5,4.29,Africa
South Africa,ZAF,2011,4.931,2022537,5798643,22.4,24.64,Africa
Sudan,SDN,2011,4.314,1221888,5010718,4.1,17.44,Africa
Tanzania,TZA,2011,4.074,1487873,4770974,4.8,3.47,Africa
Togo,TGO,2011,2.936,214607,699975,10.4,1.98,Africa
Tunisia,TUN,2011,4.876,567622,1701033,3.4,18.33,Africa
Uganda,UGA,2011,4.826,1490430,3873242,6.3,3.58,Africa
Zambia,ZMB,2011,4.999,397097,1395616,10.3,10.34,Africa
Zimbabwe,ZWE,2011,4.846,319384,1259224,20.7,5.37,Africa
Algeria,DZA,2012,5.605,1511925,5275734,2.9,10.97,Africa
Angola,AGO,2012,4.36,957843,2522064,6.9,7.37,Africa
Benin,BEN,2012,3.193,298652,979268,8.3,2.65,Africa
Botswana,BWA,2012,4.836,77404,224146,22.6,17.86,Africa
Cameroon,CMR,2012,4.245,766496,2346814,10.6,3.84,Africa
Chad,TCD,2012,4.033,409627,1254928,7.6,1.73,Africa
Comoros,COM,2012,3.956,23019,71187,5.2,7.39,Africa
Congo,COG,2012,3.919,205783,510990,8.9,10,Africa
Egypt,EGY,2012,4.204,3035427,11920708,3.4,12.6,Africa
Ethiopia,ETH,2012,4.561,2804623,9585424,6.1,2.28,Africa
Gabon,GAB,2012,3.972,74302,184861,8.9,20.4,Africa
Ghana,GHA,2012,5.057,906923,2711874,7.8,5.93,Africa
Guinea,GIN,2012,3.652,321837,1055894,7.1,4.45,Africa
Kenya,KEN,2012,4.547,1475948,4489490,5.9,2.86,Africa
Libya,LBY,2012,5.754,279898,936517,5.7,19.03,Africa
Madagascar,MDG,2012,3.551,754285,2431036,5.6,0.6,Africa
Malawi,MWI,2012,4.279,421792,1573433,6.8,5.94,Africa
Mali,MLI,2012,4.313,391371,1481673,4.5,6.62,Africa
Mauritania,MRT,2012,4.673,91547,312533,3.1,9.87,Africa
Morocco,MAR,2012,4.97,1707408,5192187,8.9,8.99,Africa
Niger,NER,2012,3.798,453861,1640342,5.5,2.18,Africa
Nigeria,NGA,2012,5.493,5030816,16496746,4.2,3.74,Africa
Rwanda,RWA,2012,3.333,409166,1219577,6,1.14,Africa
Senegal,SEN,2012,3.669,379797,1232108,6.5,9.42,Africa
South Africa,ZAF,2012,5.134,2069893,5884499,22.9,24.73,Africa
Sudan,SDN,2012,4.55,1251837,5114419,4,17.45,Africa
Tanzania,TZA,2012,4.007,1532143,4901504,4.3,3.19,Africa
Tunisia,TUN,2012,4.464,575705,1716370,3.4,17.63,Africa
Uganda,UGA,2012,4.309,1498116,3952741,5.7,3.55,Africa
Zambia,ZMB,2012,5.013,415005,1449465,9.4,7.85,Africa
Zimbabwe,ZWE,2012,4.955,327649,1280474,19.7,5.38,Africa
Angola,AGO,2013,3.937,994528,2615649,6.9,7.38,Africa
Benin,BEN,2013,3.479,310160,1014459,8.3,2.66,Africa
Botswana,BWA,2013,4.128,79439,229393,21.6,17.88,Africa
Cameroon,CMR,2013,4.271,794791,2430502,10.4,3.71,Africa
Chad,TCD,2013,3.508,422047,1300079,7.4,1.8,Africa
Congo,COG,2013,3.955,209969,524274,8.2,10.01,Africa
Egypt,EGY,2013,3.559,3141677,12185337,3.4,13.15,Africa
Ethiopia,ETH,2013,4.445,2901526,9822674,5.7,2.25,Africa
Gabon,GAB,2013,3.8,76084,189043,8.6,20.41,Africa
Ghana,GHA,2013,4.965,938252,2787637,7.7,6.26,Africa
Guinea,GIN,2013,3.902,330265,1083087,7.3,4.46,Africa
Kenya,KEN,2013,3.795,1517245,4612088,5.9,2.87,Africa
Madagascar,MDG,2013,3.816,778787,2505804,5.6,0.94,Africa
Malawi,MWI,2013,4.035,438381,1627354,6.4,5.95,Africa
Mali,MLI,2013,3.676,408945,1541601,4.5,6.35,Africa
Mauritania,MRT,2013,4.199,94735,321354,3.1,10.04,Africa
Morocco,MAR,2013,5.142,1734248,5244292,8,9.23,Africa
Niger,NER,2013,3.716,470899,1706540,5.5,1.22,Africa
Nigeria,NGA,2013,4.818,5004947,16737789,4.1,3.7,Africa
Rwanda,RWA,2013,3.466,421024,1249627,5.8,1.18,Africa
Senegal,SEN,2013,3.647,391711,1264611,6.5,8.53,Africa
Sierra Leone,SLE,2013,4.514,224242,750246,6.3,4.59,Africa
South Africa,ZAF,2013,3.661,2119378,5976794,23.7,24.56,Africa
Tanzania,TZA,2013,3.852,1577620,5036098,4.4,2.93,Africa
Tunisia,TUN,2013,5.246,583925,1732216,3.3,15.93,Africa
Uganda,UGA,2013,3.71,1508283,4037785,5.2,1.91,Africa
Zambia,ZMB,2013,5.244,434302,1506720,9.1,8.61,Africa
Zimbabwe,ZWE,2013,4.69,336889,1303186,18.6,5.38,Africa
Algeria,DZA,2014,6.355,1577918,5443382,2.8,10.21,Africa
Angola,AGO,2014,3.795,1033233,2715439,6.4,7.31,Africa
Benin,BEN,2014,3.347,321826,1050795,8.2,2.61,Africa
Botswana,BWA,2014,4.031,81495,234627,19.6,17.78,Africa
Burundi,BDI,2014,2.905,327465,1098338,6.7,1.57,Africa
Cameroon,CMR,2014,4.24,823867,2515966,10,3.53,Africa
Chad,TCD,2014,3.46,435420,1347619,7.1,1.83,Africa
Congo,COG,2014,4.056,214368,537993,7.5,9.95,Africa
Egypt,EGY,2014,4.885,3244169,12444801,3.3,13.11,Africa
Ethiopia,ETH,2014,4.507,3003467,10066582,5.5,2.22,Africa
Gabon,GAB,2014,3.918,77933,193273,9.8,20.3,Africa
Ghana,GHA,2014,3.86,970571,2865554,7.5,6.52,Africa
Guinea,GIN,2014,3.412,338795,1110715,7.1,4.41,Africa
Kenya,KEN,2014,4.905,1561384,4738338,5.7,2.82,Africa
Liberia,LBR,2014,4.571,162381,495857,4.9,2.13,Africa
Madagascar,MDG,2014,3.676,804679,2582459,5.6,1.33,Africa
Malawi,MWI,2014,4.563,455693,1684302,6.3,5.89,Africa
Mali,MLI,2014,3.975,427114,1603520,4.4,6.38,Africa
Mauritania,MRT,2014,4.483,97918,330400,3.1,10.12,Africa
Mauritius,MUS,2014,5.648,56185,159575,10.2,7.47,Africa
Namibia,NAM,2014,4.574,67522,223220,10.9,18.52,Africa
Niger,NER,2014,4.181,489038,1775795,5.5,0.52,Africa
Rwanda,RWA,2014,3.596,431853,1275306,5.8,1.17,Africa
Senegal,SEN,2014,4.395,403791,1298783,6.5,7.61,Africa
Sierra Leone,SLE,2014,4.5,231955,773276,6.2,4.68,Africa
Somalia,SOM,2014,5.528,534315,2066710,8.1,13.32,Africa
South Africa,ZAF,2014,4.828,2168633,6069801,24.1,24.89,Africa
South Sudan,SSD,2014,3.832,308558,1023702,3.5,12.51,Africa
Sudan,SDN,2014,4.139,1318375,5351372,3.9,17.36,Africa
Tanzania,TZA,2014,3.483,1626667,5179771,4.2,2.13,Africa
Togo,TGO,2014,2.839,235506,759208,10.1,2.16,Africa
Tunisia,TUN,2014,4.764,591954,1747908,3.2,15.06,Africa
Uganda,UGA,2014,3.77,1527447,4132783,4.8,1.88,Africa
Zambia,ZMB,2014,4.346,454407,1566089,9,9.34,Africa
Zimbabwe,ZWE,2014,4.184,346267,1327107,18.2,5.33,Africa
Benin,BEN,2015,3.625,333739,1087582,8.1,2.57,Africa
Botswana,BWA,2015,3.762,83562,239836,19,17.71,Africa
Cameroon,CMR,2015,5.038,854653,2604870,9.5,3.51,Africa
Chad,TCD,2015,4.323,450323,1398043,6.8,1.87,Africa
Congo,COG,2015,4.691,219612,552660,6.8,9.9,Africa
Egypt,EGY,2015,4.763,3328264,12689374,3.3,13.05,Africa
Ethiopia,ETH,2015,4.573,3105969,10313854,5.5,2.2,Africa
Gabon,GAB,2015,4.661,79810,197529,9.6,20.22,Africa
Ghana,GHA,2015,3.986,1003014,2945337,7.3,6.81,Africa
Guinea,GIN,2015,3.505,347736,1139028,7.2,4.38,Africa
Kenya,KEN,2015,4.358,1609888,4869630,5.5,2.8,Africa
Liberia,LBR,2015,2.702,166723,506899,4.5,2.08,Africa
Libya,LBY,2015,5.615,299719,994707,5.6,18.87,Africa
Madagascar,MDG,2015,3.593,831507,2661204,5.5,1.79,Africa
Malawi,MWI,2015,3.868,473408,1743253,6.2,5.85,Africa
Mali,MLI,2015,4.582,444914,1666226,4.3,7.73,Africa
Mauritania,MRT,2015,3.923,100971,339439,3,10.22,Africa
Morocco,MAR,2015,5.163,1786998,5347382,7.4,9.46,Africa
Mozambique,MOZ,2015,4.55,875876,2871775,13.9,3.43,Africa
Niger,NER,2015,3.671,508372,1847192,5.4,0.52,Africa
Nigeria,NGA,2015,4.933,5113425,17466663,3.7,4.31,Africa
Rwanda,RWA,2015,3.483,445325,1307551,5.7,1.14,Africa
Senegal,SEN,2015,4.617,415155,1331791,6.4,6.76,Africa
Sierra Leone,SLE,2015,4.909,239893,797463,5.9,4.64,Africa
Somalia,SOM,2015,5.354,557051,2150152,8,13.25,Africa
South Africa,ZAF,2015,4.887,2216103,6161934,24.5,25.15,Africa
South Sudan,SSD,2015,4.071,298141,985222,3.6,12.45,Africa
Tanzania,TZA,2015,3.661,1677768,5325415,4.2,2.1,Africa
Togo,TGO,2015,3.768,243069,779507,9.7,2.2,Africa
Tunisia,TUN,2015,5.132,599324,1763037,3.1,15.16,Africa
Uganda,UGA,2015,4.238,1564882,4246699,4.7,1.86,Africa
Zambia,ZMB,2015,4.843,474532,1626587,8.7,10.1,Africa
Zimbabwe,ZWE,2015,3.703,354911,1351088,18,5.29,Africa
Algeria,DZA,2016,5.341,1634420,5603847,2.6,10.2,Africa
Benin,BEN,2016,4.007,346463,1125579,8,2.52,Africa
Botswana,BWA,2016,3.499,85773,245258,17.8,17.62,Africa
Cameroon,CMR,2016,4.816,885653,2694538,9.2,3.47,Africa
Central African Republic,CAF,2016,2.693,224840,629495,13.7,4.25,Africa
Chad,TCD,2016,4.029,466558,1450592,6.7,1.89,Africa
Congo,COG,2016,4.119,225716,568411,6.7,9.85,Africa
Egypt,EGY,2016,4.557,3394570,12902462,3.2,12.41,Africa
Ethiopia,ETH,2016,4.298,3213281,10576560,5.5,2.17,Africa
Gabon,GAB,2016,4.832,81810,202013,9.2,20.11,Africa
Ghana,GHA,2016,4.514,1034078,3023063,7.2,5.45,Africa
Guinea,GIN,2016,3.603,357218,1168399,7.1,4.33,Africa
Kenya,KEN,2016,4.396,1662801,5006570,5.4,2.76,Africa
Lesotho,LSO,2016,3.808,98257,248977,87,24.3,Africa
Liberia,LBR,2016,3.355,171229,518001,4.5,3.08,Africa
Libya,LBY,2016,5.434,304972,1011748,5,18.77,Africa
Madagascar,MDG,2016,3.663,858879,2742103,5.5,1.76,Africa
Malawi,MWI,2016,3.476,490912,1803054,6.1,5.79,Africa
Mali,MLI,2016,4.016,463002,1729653,4.2,7.6,Africa
Mauritania,MRT,2016,4.472,103786,348366,3,10.31,Africa
Mauritius,MUS,2016,5.61,56584,159779,8.1,6.81,Africa
Morocco,MAR,2016,5.386,1812835,5394940,7.2,9.3,Africa
Niger,NER,2016,4.235,529150,1920772,5.3,0.51,Africa
Nigeria,NGA,2016,5.22,5272723,17999625,3.7,7.06,Africa
Rwanda,RWA,2016,3.333,461187,1346371,5.7,1.11,Africa
Senegal,SEN,2016,4.595,425907,1364229,6.3,6.7,Africa
Sierra Leone,SLE,2016,4.733,248193,823765,6.2,4.59,Africa
Somalia,SOM,2016,4.668,581085,2237694,7.9,13.17,Africa
South Africa,ZAF,2016,4.77,2281760,6271840,24.4,26.54,Africa
South Sudan,SSD,2016,2.888,287655,946166,3.7,12.37,Africa
Tanzania,TZA,2016,2.903,1732532,5476522,4.2,2.08,Africa
Togo,TGO,2016,3.879,250966,800384,9.3,2.95,Africa
Tunisia,TUN,2016,4.521,604936,1775412,3.1,15.51,Africa
Uganda,UGA,2016,4.233,1619624,4377587,4.7,1.83,Africa
Zambia,ZMB,2016,4.348,494869,1688946,8.5,10.88,Africa
Zimbabwe,ZWE,2016,3.735,363160,1374735,16.8,5.24,Africa
