Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021),Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number),Prevalence - Mental disorders - Sex: Both - Age: All Ages (Number),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Continent
South Africa,ZAF,2018,4.884,2372915,6451600,24.1,26.91,Africa
Tanzania,TZA,2018,3.445,1853047,5797310,4.2,1.99,Africa
Togo,TGO,2018,4.023,267444,844056,8.7,3.66,Africa
Tunisia,TUN,2018,4.741,621197,1806075,3.2,15.46,Africa
Uganda,UGA,2018,4.322,1735319,4649015,4.4,1.75,Africa
Zambia,ZMB,2018,4.041,537202,1814633,8.1,12.01,Africa
Zimbabwe,ZWE,2018,3.616,380391,1424381,14,5.07,Africa
Algeria,DZA,2019,4.745,1747189,5890019,2.5,11.81,Africa
Benin,BEN,2019,4.976,387939,1247943,7.8,2.32,Africa
Botswana,BWA,2019,3.471,92664,260564,16.1,17.21,Africa
Cameroon,CMR,2019,4.937,993098,2980642,9,3.32,Africa
Chad,TCD,2019,4.251,523661,1629263,6.4,1.91,Africa
Comoros,COM,2019,4.609,27271,81080,5.4,7.7,Africa
Congo,COG,2019,5.213,246802,618360,6.5,9.6,Africa
Egypt,EGY,2019,4.328,3638842,13660431,3,9.73,Africa
Ethiopia,ETH,2019,4.1,3564298,11397496,5.4,2.04,Africa
Gabon,GAB,2019,4.914,87765,214849,8.4,19.64,Africa
Gambia,GMB,2019,5.164,91023,249781,4.8,8.94,Africa
Ghana,GHA,2019,4.967,1137697,3265916,6.6,4.12,Africa
Guinea,GIN,2019,4.768,390002,1267531,7,4.14,Africa
Kenya,KEN,2019,4.619,1844799,5436049,6.1,2.6,Africa
Lesotho,LSO,2019,3.512,103288,257120,72.4,23.86,Africa
Liberia,LBR,2019,5.121,170534,543560,4.5,2.89,Africa
Libya,LBY,2019,5.33,325500,1060680,4.5,18.34,Africa
Madagascar,MDG,2019,4.339,952024,2991460,5.5,1.67,Africa
Malawi,MWI,2019,3.869,548764,1990289,5.4,5.56,Africa
Mali,MLI,2019,4.988,525718,1940513,4.1,7.24,Africa
Mauritania,MRT,2019,4.153,113968,376294,3.1,10.13,Africa
Mauritius,MUS,2019,6.241,57638,160656,9.5,6.36,Africa
Morocco,MAR,2019,5.057,1889974,5552161,7.2,9.01,Africa
Mozambique,MOZ,2019,4.932,995930,3233504,13.6,3.19,Africa
Namibia,NAM,2019,4.436,75143,242536,9.7,19.75,Africa
Niger,NER,2019,5.004,601439,2161851,5.3,0.46,Africa
Nigeria,NGA,2019,4.356,5800001,19735093,3.5,8.53,Africa
Rwanda,RWA,2019,3.268,512062,1457729,5.6,0.99,Africa
Senegal,SEN,2019,5.489,465405,1468264,6,6.47,Africa
Sierra Leone,SLE,2019,3.447,275540,905735,6.7,4.36,Africa
South Africa,ZAF,2019,5.035,2390738,6512562,23.5,28.47,Africa
Tanzania,TZA,2019,3.64,1922665,5965121,4.3,1.96,Africa
Togo,TGO,2019,4.179,276012,866570,8.8,3.6,Africa
Tunisia,TUN,2019,4.315,634834,1828614,3.3,15.13,Africa
Uganda,UGA,2019,4.948,1795181,4785579,4.6,1.72,Africa
Zambia,ZMB,2019,3.307,559699,1878016,7.3,11.91,Africa
Zimbabwe,ZWE,2019,2.694,389098,1447584,14.1,5.02,Africa
Iran,IRN,2005,5.308,3264733,13580775,6.3,12.1,Asia
Japan,JPN,2005,6.516,3504905,13743144,24.3,4.4,Asia
Jordan,JOR,2005,6.295,213919,802763,2,14.8,Asia
Lebanon,LBN,2005,5.491,195006,619696,2.7,8.27,Asia
Pakistan,PAK,2005,5.225,4561246,17192286,9,0.61,Asia
Saudi Arabia,SAU,2005,7.08,907945,3063803,3.7,6.05,Asia
Turkey,TUR,2005,4.719,3109719,10536295,2.8,10.64,Asia
Bangladesh,BGD,2006,4.319,5307719,15756237,5,3.59,Asia
Cambodia,KHM,2006,3.569,357696,1672267,5.7,1.29,Asia
China,CHN,2006,4.56,43233810,153533835,12.1,4.4,Asia
India,IND,2006,5.348,45135572,157729299,15.6,5.52,Asia
Indonesia,IDN,2006,4.947,5205270,23994502,2.9,7.55,Asia
Israel,ISR,2006,7.173,331738,960697,5.5,10.71,Asia
Kazakhstan,KAZ,2006,5.476,550515,1616271,38,7.79,Asia
Kuwait,KWT,2006,6.076,102004,326118,2.7,1.3,Asia
Kyrgyzstan,KGZ,2006,4.641,166312,579890,13.1,8.27,Asia
Laos,LAO,2006,5.076,135233,675442,6.4,1.15,Asia
Lebanon,LBN,2006,4.653,199066,631869,2.5,8.62,Asia
Malaysia,MYS,2006,6.012,881396,3030903,4.5,3.32,Asia
Nepal,NPL,2006,4.567,1061088,3328245,7.7,1.47,Asia
Philippines,PHL,2006,4.67,2074470,9995802,2,4.05,Asia
Sri Lanka,LKA,2006,4.345,594364,2251565,18.3,6.5,Asia
Tajikistan,TJK,2006,4.613,158079,734597,3.6,12.38,Asia
Thailand,THA,2006,5.885,2139359,8261244,8.9,1.22,Asia
United Arab Emirates,ARE,2006,6.734,190949,607399,8.3,3.06,Asia
Uzbekistan,UZB,2006,5.232,761338,2787823,8.8,5.86,Asia
Vietnam,VNM,2006,5.294,2101682,8089602,6.4,2.08,Asia
Bangladesh,BGD,2007,4.607,5424720,15855464,4.9,3.91,Asia
Cambodia,KHM,2007,4.156,364590,1691198,5.7,1.26,Asia
China,CHN,2007,4.863,43425689,153780187,11.5,4.3,Asia
India,IND,2007,5.027,44178916,159567725,15.3,5.41,Asia
Indonesia,IDN,2007,5.101,5279752,24255959,2.9,8.06,Asia
Iran,IRN,2007,5.336,3517928,14026309,6.4,10.6,Asia
Israel,ISR,2007,6.841,337830,990132,5.2,9.38,Asia
Japan,JPN,2007,6.238,3462931,13603427,25,3.9,Asia
Jordan,JOR,2007,5.598,233588,881430,1.7,13.1,Asia
Kazakhstan,KAZ,2007,5.719,555228,1625029,38,7.26,Asia
Kyrgyzstan,KGZ,2007,4.698,168259,584592,12.6,8.1,Asia
Laos,LAO,2007,5.364,137642,686596,6.3,0.99,Asia
Malaysia,MYS,2007,6.239,898589,3084411,4.4,3.23,Asia
Mongolia,MNG,2007,4.609,101491,289332,23.6,7.2,Asia
Nepal,NPL,2007,4.748,1092570,3388440,8,1.38,Asia
Pakistan,PAK,2007,5.671,4769686,18180723,9.1,0.4,Asia
Philippines,PHL,2007,5.074,2130701,10200428,1.9,3.43,Asia
Saudi Arabia,SAU,2007,7.267,1003258,3328663,4.3,5.73,Asia
Sri Lanka,LKA,2007,4.415,595906,2263835,20,5.97,Asia
Tajikistan,TJK,2007,4.432,162242,748328,3.7,11.84,Asia
Thailand,THA,2007,5.784,2217705,8529934,8.4,1.18,Asia
Turkey,TUR,2007,5.623,3167717,10697180,2.5,8.87,Asia
Vietnam,VNM,2007,5.422,2142265,8155495,6.7,2.03,Asia
Yemen,YEM,2007,4.477,855228,3215446,5.8,12.1,Asia
Afghanistan,AFG,2008,3.724,943571,4211454,4.6,11.11,Asia
Bangladesh,BGD,2008,5.052,5543314,15939418,4.7,4.29,Asia
Cambodia,KHM,2008,4.462,371238,1709585,5.6,0.83,Asia
China,CHN,2008,4.846,43571376,153988167,11.1,4.6,Asia
India,IND,2008,5.146,42712778,161054253,15.1,5.36,Asia
Indonesia,IDN,2008,4.815,5352864,24507428,2.8,7.21,Asia
Iran,IRN,2008,5.129,3663634,14278657,6.2,10.48,Asia
Iraq,IRQ,2008,4.59,941247,4324511,3.6,8.4,Asia
Israel,ISR,2008,7.261,343932,1022154,5.3,7.7,Asia
Japan,JPN,2008,5.911,3421006,13486426,24.4,4,Asia
Jordan,JOR,2008,4.93,241478,915988,1.7,12.7,Asia
Kazakhstan,KAZ,2008,5.886,560018,1633640,34.6,6.63,Asia
Kyrgyzstan,KGZ,2008,4.737,170249,588995,12.3,8.22,Asia
Laos,LAO,2008,5.044,139853,697053,6.3,0.85,Asia
Lebanon,LBN,2008,4.595,204955,658467,2.9,7.45,Asia
Malaysia,MYS,2008,5.807,915352,3134631,4.5,3.34,Asia
Mongolia,MNG,2008,4.493,103787,293195,23.8,5.57,Asia
Nepal,NPL,2008,4.441,1125099,3448240,8.3,1.33,Asia
Pakistan,PAK,2008,4.414,4864494,18695964,9,0.42,Asia
Philippines,PHL,2008,4.589,2189613,10400978,2,3.72,Asia
Saudi Arabia,SAU,2008,6.811,1058408,3476249,4.6,5.08,Asia
Sri Lanka,LKA,2008,4.431,597962,2276163,17.5,5.22,Asia
Syria,SYR,2008,5.323,704169,2997677,1.4,10.94,Asia
Tajikistan,TJK,2008,5.064,166476,761461,3.8,11.43,Asia
Thailand,THA,2008,5.636,2254569,8602896,8.1,1.18,Asia
Turkey,TUR,2008,5.118,3178980,10750677,2.4,9.71,Asia
Uzbekistan,UZB,2008,5.311,790032,2854312,8.5,4.89,Asia
Vietnam,VNM,2008,5.48,2182781,8221980,6.9,1.8,Asia
Afghanistan,AFG,2009,4.402,980619,4330314,4.4,11.46,Asia
Bahrain,BHR,2009,5.701,61159,180758,8.6,1.13,Asia
Bangladesh,BGD,2009,5.083,5672905,16048780,4.6,5,Asia
Cambodia,KHM,2009,4.111,378484,1728993,5.4,0.58,Asia
China,CHN,2009,4.454,43820117,154231491,10.7,4.7,Asia
India,IND,2009,4.522,41542419,162693852,14.5,5.61,Asia
Indonesia,IDN,2009,5.472,5429432,24758565,2.7,6.11,Asia
Iraq,IRQ,2009,4.775,975313,4454355,3.7,8.49,Asia
Israel,ISR,2009,7.353,349834,1052314,6,9.53,Asia
Japan,JPN,2009,5.845,3382171,13374060,24.9,5.1,Asia
Jordan,JOR,2009,6,251325,957546,1.6,12.9,Asia
Kazakhstan,KAZ,2009,5.383,565251,1643447,30.3,6.55,Asia
Kuwait,KWT,2009,6.585,120104,382967,2.7,1.64,Asia
Kyrgyzstan,KGZ,2009,5.069,172430,593927,11.9,8.41,Asia
Lebanon,LBN,2009,5.206,207367,669132,3,6.36,Asia
Malaysia,MYS,2009,5.385,931324,3184034,4.6,3.69,Asia
Nepal,NPL,2009,4.917,1157121,3506543,8.5,1.64,Asia
Pakistan,PAK,2009,5.208,4968372,19233083,8.8,0.54,Asia
Philippines,PHL,2009,4.88,2249487,10597468,2.3,3.86,Asia
Qatar,QAT,2009,6.418,71634,215767,8.4,0.31,Asia
Saudi Arabia,SAU,2009,6.148,1115076,3628759,5,5.38,Asia
Sri Lanka,LKA,2009,4.212,601099,2288791,22.7,5.85,Asia
Syria,SYR,2009,4.979,715826,3036316,1.4,8.14,Asia
Tajikistan,TJK,2009,4.575,170926,775334,3.9,11.5,Asia
Thailand,THA,2009,5.476,2248045,8473017,8,0.93,Asia
Turkey,TUR,2009,5.213,3191291,10800502,2.4,12.55,Asia
Turkmenistan,TKM,2009,6.568,127975,452776,9.4,4.54,Asia
United Arab Emirates,ARE,2009,6.866,334796,1080128,8.5,2.53,Asia
Uzbekistan,UZB,2009,5.261,804802,2887004,8,5,Asia
Vietnam,VNM,2009,5.304,2221440,8285256,6.9,1.74,Asia
Yemen,YEM,2009,4.809,914592,3396776,5.9,12.71,Asia
Afghanistan,AFG,2010,4.758,1025343,4479431,4.3,11.52,Asia
Bahrain,BHR,2010,5.937,64656,191078,8.2,1.13,Asia
Bangladesh,BGD,2010,4.858,5811082,16208404,4.4,3.38,Asia
Cambodia,KHM,2010,4.141,386462,1748744,5.4,0.77,Asia
China,CHN,2010,4.653,44288056,154569565,10.2,4.5,Asia
India,IND,2010,4.989,41531220,165033039,14.6,5.65,Asia
Indonesia,IDN,2010,5.457,5517289,25017592,2.6,5.61,Asia
Iraq,IRQ,2010,5.065,1017116,4611978,3.9,8.34,Asia
Israel,ISR,2010,7.359,355462,1076178,6.7,8.48,Asia
Japan,JPN,2010,6.057,3358800,13292205,24.1,5.1,Asia
Jordan,JOR,2010,5.57,263050,1001833,1.5,12.5,Asia
Kazakhstan,KAZ,2010,5.514,571365,1655253,29.9,5.77,Asia
Kuwait,KWT,2010,6.798,127673,405998,2.5,1.82,Asia
Kyrgyzstan,KGZ,2010,4.996,175117,599507,11.4,8.64,Asia
Lebanon,LBN,2010,5.032,210819,680358,3,6.4,Asia
Malaysia,MYS,2010,5.58,948563,3234323,4.5,3.25,Asia
Mongolia,MNG,2010,4.586,108815,301435,23.4,6.55,Asia
Nepal,NPL,2010,4.35,1186388,3562883,8.7,1.88,Asia
Pakistan,PAK,2010,5.786,5088099,19786764,8.8,0.65,Asia
Philippines,PHL,2010,4.942,2309667,10790603,2.4,3.61,Asia
Qatar,QAT,2010,6.85,82119,247537,8.2,0.45,Asia
Saudi Arabia,SAU,2010,6.307,1173240,3784477,5.5,5.55,Asia
Sri Lanka,LKA,2010,3.977,606332,2304319,21.9,4.78,Asia
Syria,SYR,2010,4.465,718897,3033405,1.5,8.61,Asia
Tajikistan,TJK,2010,4.381,176169,790466,4,10.85,Asia
Thailand,THA,2010,6.217,2260843,8427285,8.1,0.62,Asia
Turkey,TUR,2010,5.49,3217015,10869466,2.4,10.66,Asia
United Arab Emirates,ARE,2010,7.097,345525,1111417,8.4,2.36,Asia
Uzbekistan,UZB,2010,5.095,821753,2923512,8.1,5.4,Asia
Vietnam,VNM,2010,5.296,2261725,8350786,7,1.11,Asia
Yemen,YEM,2010,4.35,945960,3500725,5.7,12.93,Asia
Afghanistan,AFG,2011,3.832,1071820,4632218,4.1,11.51,Asia
Bahrain,BHR,2011,4.824,66908,197337,7.9,1.18,Asia
Bangladesh,BGD,2011,4.986,5958619,16411820,4,3.71,Asia
Cambodia,KHM,2011,4.161,395031,1770286,5.3,0.58,Asia
China,CHN,2011,5.037,44971037,154826809,9.6,4.5,Asia
India,IND,2011,4.635,42443838,167976789,14.7,5.65,Asia
Indonesia,IDN,2011,5.173,5618834,25289503,2.6,5.15,Asia
Iran,IRN,2011,4.768,3992363,14825230,6.8,12.45,Asia
Iraq,IRQ,2011,4.725,1082066,4819853,4.1,8.15,Asia
Israel,ISR,2011,7.433,358990,1093630,5.7,7.14,Asia
Japan,JPN,2011,6.263,3340625,13221258,23.4,4.52,Asia
Jordan,JOR,2011,5.539,278477,1057534,1.5,12.9,Asia
Kazakhstan,KAZ,2011,5.736,579477,1670038,28.7,5.39,Asia
Kuwait,KWT,2011,6.378,135848,430589,2.3,2.07,Asia
Kyrgyzstan,KGZ,2011,4.921,178213,606140,11.3,8.53,Asia
Laos,LAO,2011,4.704,149593,727092,5.9,0.71,Asia
Lebanon,LBN,2011,5.188,220299,709611,3,6.39,Asia
Malaysia,MYS,2011,5.786,973478,3288930,4.6,3.05,Asia
Mongolia,MNG,2011,5.031,111483,305728,22.7,4.77,Asia
Nepal,NPL,2011,3.809,1206225,3608916,8.9,2.11,Asia
Oman,OMN,2011,6.853,124914,429078,6.1,3.64,Asia
Pakistan,PAK,2011,5.267,5229687,20371866,8.7,0.8,Asia
Philippines,PHL,2011,4.994,2371069,10982056,2.7,3.59,Asia
Qatar,QAT,2011,6.592,91411,275880,8,0.56,Asia
Saudi Arabia,SAU,2011,6.7,1230966,3938560,6.1,5.77,Asia
Sri Lanka,LKA,2011,4.181,614092,2322828,17.9,4.12,Asia
Syria,SYR,2011,4.038,697884,2921709,1.5,8.6,Asia
Tajikistan,TJK,2011,4.263,181766,806479,4,10.16,Asia
Thailand,THA,2011,6.664,2294848,8472640,8,0.66,Asia
Turkey,TUR,2011,5.272,3261609,10980892,2.2,8.8,Asia
Turkmenistan,TKM,2011,5.792,131861,458286,7.6,4,Asia
United Arab Emirates,ARE,2011,7.119,355325,1137200,8.2,2.23,Asia
Uzbekistan,UZB,2011,5.739,840973,2961360,8.5,5,Asia
Vietnam,VNM,2011,5.767,2301668,8437889,7.2,1,Asia
Yemen,YEM,2011,3.746,978476,3613071,5.6,13.08,Asia
Afghanistan,AFG,2012,3.783,1119167,4786380,4,11.52,Asia
Bahrain,BHR,2012,5.027,68683,202274,7.4,1.2,Asia
Bangladesh,BGD,2012,4.724,6114550,16631664,3.7,4.06,Asia
Cambodia,KHM,2012,3.899,403532,1791465,5.2,0.51,Asia
China,CHN,2012,5.095,45728981,154901820,9,4.6,Asia
India,IND,2012,4.72,43420959,170986546,14.3,5.66,Asia
Indonesia,IDN,2012,5.368,5732003,25568175,2.5,4.47,Asia
Iran,IRN,2012,4.609,4089557,14998884,6.7,12.63,Asia
Iraq,IRQ,2012,4.66,1167577,5042156,4.1,7.97,Asia
Israel,ISR,2012,7.111,359474,1107869,6.1,6.86,Asia
Japan,JPN,2012,5.968,3314315,13131352,21.6,4.3,Asia
Jordan,JOR,2012,5.132,299558,1134572,1.5,12.2,Asia
Kazakhstan,KAZ,2012,5.759,588670,1686592,27.6,5.29,Asia
Kuwait,KWT,2012,6.221,144279,455905,2.4,2.3,Asia
Kyrgyzstan,KGZ,2012,5.208,181290,612977,10.9,8.43,Asia
Laos,LAO,2012,4.876,154290,737324,5.7,0.71,Asia
Lebanon,LBN,2012,4.573,235580,759812,3,6.4,Asia
Malaysia,MYS,2012,5.914,1006746,3347254,4.6,3.04,Asia
Mongolia,MNG,2012,4.885,114157,310185,21.7,3.91,Asia
Nepal,NPL,2012,4.233,1214487,3642391,8.9,2.36,Asia
Pakistan,PAK,2012,5.132,5389444,20986866,8.8,1.7,Asia
Philippines,PHL,2012,5.002,2435103,11171557,2.4,3.5,Asia
Qatar,QAT,2012,6.611,99106,299749,7.4,0.48,Asia
Saudi Arabia,SAU,2012,6.396,1290636,4094122,6.4,5.52,Asia
Sri Lanka,LKA,2012,4.225,622633,2343299,16.6,3.88,Asia
Syria,SYR,2012,3.164,655430,2714911,1.6,8.61,Asia
Tajikistan,TJK,2012,4.497,187660,823207,4.1,9.5,Asia
Thailand,THA,2012,6.3,2327340,8507210,7.9,0.58,Asia
Turkey,TUR,2012,5.309,3319002,11131208,2.2,8.15,Asia
Turkmenistan,TKM,2012,5.464,134003,461843,7.1,4,Asia
United Arab Emirates,ARE,2012,7.218,364571,1160861,7.9,2.09,Asia
Uzbekistan,UZB,2012,6.019,860566,2999218,8.9,4.9,Asia
Vietnam,VNM,2012,5.535,2342011,8559864,7.4,1.03,Asia
Yemen,YEM,2012,4.061,1011913,3729770,5.7,13.24,Asia
Afghanistan,AFG,2013,3.572,1165521,4938827,4,11.54,Asia
Bahrain,BHR,2013,6.69,70446,207143,7.1,1.22,Asia
Bangladesh,BGD,2013,4.66,6268385,16855498,3.5,4.43,Asia
Bhutan,BTN,2013,5.569,27002,86511,4.4,2.87,Asia
Cambodia,KHM,2013,3.674,412011,1813643,5.2,0.44,Asia
China,CHN,2013,5.241,46524347,154983501,8.6,4.6,Asia
India,IND,2013,4.428,44444032,174000099,13.7,5.67,Asia
Indonesia,IDN,2013,5.292,5850034,25848716,2.5,4.34,Asia
Iran,IRN,2013,5.14,4186005,15178640,6.6,10.44,Asia
Iraq,IRQ,2013,4.725,1255245,5232221,4.2,9.27,Asia
Israel,ISR,2013,7.321,359251,1121764,5.2,6.21,Asia
Japan,JPN,2013,5.959,3287489,13038217,21.4,4,Asia
Jordan,JOR,2013,5.172,321027,1212304,1.5,12.6,Asia
Kazakhstan,KAZ,2013,5.835,598341,1704259,26.3,5.2,Asia
Kuwait,KWT,2013,6.48,152825,481619,2.4,2.56,Asia
Kyrgyzstan,KGZ,2013,5.402,184432,620319,10.5,8.33,Asia
Lebanon,LBN,2013,4.983,247582,797339,3,6.41,Asia
Malaysia,MYS,2013,5.77,1043371,3406671,4.4,3.11,Asia
Mongolia,MNG,2013,4.913,116768,314717,21,4.23,Asia
Nepal,NPL,2013,4.605,1217405,3671935,8.7,2.63,Asia
Pakistan,PAK,2013,5.138,5559863,21614294,8.9,2.95,Asia
Philippines,PHL,2013,4.977,2499945,11358795,2.4,3.5,Asia
Saudi Arabia,SAU,2013,6.495,1349311,4247666,6.5,5.57,Asia
Sri Lanka,LKA,2013,4.365,632213,2364977,15.2,4.24,Asia
Syria,SYR,2013,2.688,617922,2530198,1.8,8.62,Asia
Tajikistan,TJK,2013,4.967,193605,840496,4,8.86,Asia
Thailand,THA,2013,6.231,2358748,8534568,7.5,0.21,Asia
Turkey,TUR,2013,4.888,3387271,11320493,2.3,8.73,Asia
Turkmenistan,TKM,2013,5.392,136202,465618,7.1,4.01,Asia
United Arab Emirates,ARE,2013,6.621,373722,1182668,7.5,1.95,Asia
Uzbekistan,UZB,2013,5.94,880349,3038213,8.9,4.9,Asia
Vietnam,VNM,2013,5.023,2382510,8694494,7.5,1.32,Asia
Yemen,YEM,2013,4.218,1046420,3853214,5.7,13.41,Asia
Afghanistan,AFG,2014,3.131,1201934,5051968,3.9,11.45,Asia
Bahrain,BHR,2014,6.165,72088,211519,7.4,1.27,Asia
Bangladesh,BGD,2014,4.636,6429017,17093108,3.5,4.39,Asia
Bhutan,BTN,2014,4.939,27520,87259,4.4,2.63,Asia
Cambodia,KHM,2014,3.883,420563,1836164,5.1,0.69,Asia
China,CHN,2014,5.196,47318196,155238787,8.4,4.6,Asia
India,IND,2014,4.424,45488687,176935436,12.8,5.6,Asia
Indonesia,IDN,2014,5.597,5965388,26122601,2.4,4.05,Asia
Iran,IRN,2014,4.682,4271205,15345195,6.5,10.57,Asia
Iraq,IRQ,2014,4.542,1333148,5388412,4.1,10.59,Asia
Israel,ISR,2014,7.401,359635,1136385,5.1,5.89,Asia
Japan,JPN,2014,5.923,3266722,12953359,20.1,3.6,Asia
Jordan,JOR,2014,5.333,341082,1282330,1.5,11.9,Asia
Kazakhstan,KAZ,2014,5.97,607898,1723888,24.2,5.06,Asia
Kuwait,KWT,2014,6.18,161463,507295,2.5,2.9,Asia
Kyrgyzstan,KGZ,2014,5.252,187550,628064,10.5,8.05,Asia
Lebanon,LBN,2014,5.233,251901,807502,2.8,6.35,Asia
Malaysia,MYS,2014,5.963,1077732,3465798,4.6,2.88,Asia
Mongolia,MNG,2014,4.825,119259,319360,20,4.8,Asia
Nepal,NPL,2014,4.975,1222823,3703845,8.5,2.85,Asia
Pakistan,PAK,2014,5.436,5740650,22255898,8.9,1.83,Asia
Philippines,PHL,2014,5.313,2563746,11545134,2.3,3.6,Asia
Saudi Arabia,SAU,2014,6.278,1407758,4398918,6.6,5.72,Asia
Sri Lanka,LKA,2014,4.268,641399,2386706,13.1,4.19,Asia
Tajikistan,TJK,2014,4.896,199706,858148,4.1,8.17,Asia
Thailand,THA,2014,6.985,2387780,8556321,7.8,0.58,Asia
Turkey,TUR,2014,5.58,3454682,11500964,2.3,9.88,Asia
Turkmenistan,TKM,2014,5.787,138341,469630,6.8,3.97,Asia
United Arab Emirates,ARE,2014,6.54,381940,1201773,7,1.84,Asia
Uzbekistan,UZB,2014,6.049,899991,3079341,9,5.1,Asia
Vietnam,VNM,2014,5.085,2422122,8819617,7.6,1.26,Asia
Yemen,YEM,2014,3.968,1081971,3980497,5.7,13.47,Asia
Afghanistan,AFG,2015,3.983,1238345,5169607,4,11.39,Asia
Bahrain,BHR,2015,6.007,73417,214651,7.4,1.32,Asia
Bangladesh,BGD,2015,4.633,6588316,17325560,3.4,4.38,Asia
Bhutan,BTN,2015,5.082,27978,87845,4.5,2.45,Asia
Cambodia,KHM,2015,4.162,429336,1860107,5.1,0.39,Asia
China,CHN,2015,5.304,48058838,155864085,8.1,4.6,Asia
India,IND,2015,4.342,46523772,179696402,12.3,5.56,Asia
Indonesia,IDN,2015,5.043,6074387,26398837,2.4,4.51,Asia
Iran,IRN,2015,4.75,4338028,15493044,6.3,11.06,Asia
Iraq,IRQ,2015,4.493,1389713,5513823,4.1,10.72,Asia
Israel,ISR,2015,7.079,363273,1153669,4.5,5.25,Asia
Japan,JPN,2015,5.88,3257460,12887752,19.1,3.4,Asia
Jordan,JOR,2015,5.405,361824,1354503,1.5,13.08,Asia
Kazakhstan,KAZ,2015,5.95,616094,1744323,23.2,4.93,Asia
Kuwait,KWT,2015,6.146,170114,532540,2.6,2.2,Asia
Kyrgyzstan,KGZ,2015,4.905,190813,636349,9.9,7.56,Asia
Lebanon,LBN,2015,5.172,253984,810950,2.8,6.31,Asia
Malaysia,MYS,2015,6.322,1104383,3520260,4.8,3.1,Asia
Mongolia,MNG,2015,4.983,121830,324694,20,4.86,Asia
Nepal,NPL,2015,4.812,1239476,3745254,8.5,3.1,Asia
Pakistan,PAK,2015,4.823,5920806,22892311,9,3.57,Asia
Philippines,PHL,2015,5.547,2624364,11733041,2.3,3.07,Asia
Qatar,QAT,2015,6.375,114395,349103,6.1,0.17,Asia
Saudi Arabia,SAU,2015,6.345,1464782,4544286,6.3,5.59,Asia
Sri Lanka,LKA,2015,4.612,650019,2408403,15.1,4.52,Asia
Syria,SYR,2015,3.462,579781,2326313,1.7,8.5,Asia
Tajikistan,TJK,2015,5.124,205838,875752,4.1,7.53,Asia
Thailand,THA,2015,6.202,2419561,8591261,8,0.6,Asia
Turkey,TUR,2015,5.514,3512825,11640724,2.3,10.24,Asia
Turkmenistan,TKM,2015,5.791,140393,474040,6.3,3.94,Asia
United Arab Emirates,ARE,2015,6.568,389512,1217828,6.5,1.74,Asia
Uzbekistan,UZB,2015,5.972,919544,3121772,9.2,5.2,Asia
Vietnam,VNM,2015,5.076,2462610,8919049,7.7,1.85,Asia
Yemen,YEM,2015,2.983,1118575,4111654,5.5,13.4,Asia
Afghanistan,AFG,2016,4.22,1283786,5332320,4,11.31,Asia
Bahrain,BHR,2016,6.17,74356,216348,7.7,1.38,Asia
Bangladesh,BGD,2016,4.556,6749196,17564361,3.4,4.35,Asia
Cambodia,KHM,2016,4.461,438667,1885387,5.1,0.72,Asia
China,CHN,2016,5.325,48704715,157595907,8.2,4.5,Asia
India,IND,2016,4.179,47562311,182305698,12.1,5.51,Asia
Indonesia,IDN,2016,5.136,6164628,26666914,2.4,4.3,Asia
Iran,IRN,2016,4.653,4390542,15536674,6.2,12.43,Asia
Iraq,IRQ,2016,4.413,1430248,5614682,4,10.82,Asia
Israel,ISR,2016,7.159,368985,1173646,5.2,4.8,Asia
Japan,JPN,2016,5.955,3258095,12836080,17.5,3.1,Asia
Jordan,JOR,2016,5.271,381523,1425247,1.5,15.28,Asia
Kazakhstan,KAZ,2016,5.534,623511,1765226,21.7,4.96,Asia
Kuwait,KWT,2016,5.947,178583,556734,2.6,2.16,Asia
Kyrgyzstan,KGZ,2016,4.857,193577,644781,8.6,7.21,Asia
Lebanon,LBN,2016,5.271,255764,815921,2.7,6.26,Asia
Mongolia,MNG,2016,5.057,124582,333846,20.1,7.24,Asia
Nepal,NPL,2016,5.1,1264867,3793577,8.5,3.05,Asia
Pakistan,PAK,2016,5.549,6097400,23525435,9.1,3.78,Asia
Philippines,PHL,2016,5.431,2681047,11919765,2.2,2.69,Asia
Saudi Arabia,SAU,2016,6.474,1515762,4679058,6.3,5.65,Asia
Tajikistan,TJK,2016,5.104,211385,892718,4.3,6.9,Asia
Thailand,THA,2016,6.074,2447533,8628521,8.5,0.69,Asia
Turkey,TUR,2016,5.326,3521885,11706511,2.3,10.84,Asia
Turkmenistan,TKM,2016,5.887,142384,478680,6.2,3.9,Asia
United Arab Emirates,ARE,2016,6.831,395425,1228228,6,1.64,Asia
Uzbekistan,UZB,2016,5.893,937088,3162809,9.1,5.2,Asia
Vietnam,VNM,2016,5.062,2505284,8992117,7.7,1.85,Asia
Yemen,YEM,2016,3.826,1154235,4260640,5.7,13.31,Asia
Afghanistan,AFG,2017,2.662,1332807,5510364,4.1,11.18,Asia
Bahrain,BHR,2017,6.227,75265,217966,8.1,1.44,Asia
Bangladesh,BGD,2017,4.31,6902281,17803180,3.5,4.37,Asia
Cambodia,KHM,2017,4.586,448504,1912735,5,0.14,Asia
China,CHN,2017,5.099,49303509,159422086,8.1,4.4,Asia
